time_spent,app_switches,hour_of_day,day_of_week,violations,session_gap,previous_usage,focus_sessions,addiction_score,relapse_risk,label,interaction_intensity,discipline_score,usage_pressure,night_flag
111,17,6,1,2,19,53,2,8.73,0,addicted,1887,10,2.65,0
102,10,19,3,3,17,130,0,8.059999999999999,1,addicted,1020,-15,7.222222222222222,0
28,7,14,5,1,22,68,5,3.2399999999999998,0,focused,196,45,2.9565217391304346,0
40,7,10,6,1,51,31,5,3.6,1,focused,280,45,0.5961538461538461,0
167,12,7,1,3,25,84,3,10.41,0,distracted,2004,15,3.230769230769231,0
192,10,20,3,1,21,120,1,8.76,0,focused,1920,5,5.454545454545454,0
54,7,6,5,0,19,86,0,3.02,0,addicted,378,0,4.3,0
157,11,18,5,2,5,84,1,8.91,0,focused,1727,0,14.0,0
379,15,22,1,4,3,221,0,18.369999999999997,0,addicted,5685,-20,55.25,1
43,5,10,6,0,38,111,2,2.29,0,focused,215,20,2.8461538461538463,0
25,6,10,4,1,21,75,2,2.95,0,focused,150,15,3.409090909090909,0
334,23,23,4,5,7,176,1,19.619999999999997,0,addicted,7682,-15,22.0,1
94,19,20,5,0,25,62,0,6.62,0,focused,1786,0,2.3846153846153846,0
333,26,3,4,4,7,181,1,19.189999999999998,0,addicted,8658,-10,22.625,1
83,16,7,0,1,18,102,3,6.69,0,focused,1328,25,5.368421052631579,0
379,22,23,5,4,7,157,1,19.77,0,addicted,8338,-10,19.625,1
367,11,2,5,4,9,353,0,17.21,0,addicted,4037,-20,35.3,1
122,8,21,3,0,27,137,1,5.26,0,distracted,976,10,4.892857142857143,0
150,13,20,4,0,5,156,2,7.1,1,distracted,1950,20,26.0,0
219,27,1,6,4,3,290,0,15.969999999999999,0,addicted,5913,-20,72.5,1
298,14,23,5,2,7,367,0,13.739999999999998,0,addicted,4172,-10,45.875,1
64,2,11,6,0,42,94,5,2.32,0,distracted,128,50,2.186046511627907,0
53,14,5,0,2,21,74,1,6.39,0,focused,742,0,3.3636363636363638,0
330,21,1,3,2,1,250,1,16.1,0,addicted,6930,0,125.0,1
70,5,20,1,2,20,195,3,5.1,0,focused,350,20,9.285714285714286,0
132,27,0,6,2,4,180,1,11.36,0,distracted,3564,0,36.0,1
63,6,11,5,0,55,118,5,3.09,0,focused,378,50,2.107142857142857,0
37,9,21,0,3,22,52,3,5.91,0,addicted,333,15,2.260869565217391,0
37,6,11,2,1,20,109,5,3.31,0,focused,222,45,5.190476190476191,0
66,1,16,0,1,29,62,4,3.18,0,focused,66,35,2.066666666666667,0
22,5,9,0,1,43,11,1,2.66,0,focused,110,5,0.25,0
34,3,15,3,0,57,26,4,1.6199999999999999,0,focused,102,40,0.4482758620689655,0
52,1,14,1,1,45,111,1,2.7600000000000002,0,focused,52,5,2.4130434782608696,0
56,1,14,2,1,47,67,4,2.88,0,focused,56,35,1.3958333333333333,0
191,7,18,4,1,11,82,2,8.129999999999999,0,distracted,1337,15,6.833333333333333,0
21,3,11,4,0,55,86,4,1.23,0,distracted,63,40,1.5357142857142858,0
383,10,22,6,4,9,397,1,17.49,0,distracted,3830,-10,39.7,1
133,5,19,0,0,13,147,1,4.99,0,distracted,665,10,10.5,0
337,13,2,3,3,8,286,0,15.709999999999999,1,addicted,4381,-15,31.77777777777778,1
262,31,4,3,2,1,208,1,16.06,0,distracted,8122,0,104.0,1
55,12,18,4,2,17,132,2,6.05,0,addicted,660,10,7.333333333333333,0
97,17,6,6,2,15,114,0,8.309999999999999,0,addicted,1649,-10,7.125,0
86,17,20,6,2,13,75,0,7.9799999999999995,0,addicted,1462,-10,5.357142857142857,0
134,13,8,6,3,26,64,3,9.62,0,distracted,1742,15,2.3703703703703702,0
163,8,6,2,1,26,127,1,7.49,0,focused,1304,5,4.703703703703703,0
12,6,17,1,1,48,17,4,2.56,0,distracted,72,35,0.3469387755102041,0
328,25,3,2,4,2,160,0,18.839999999999996,1,distracted,8200,-20,53.333333333333336,1
25,4,13,5,0,45,71,1,1.55,0,focused,100,10,1.5434782608695652,0
27,3,17,5,0,57,91,2,1.41,0,focused,81,20,1.5689655172413792,0
58,4,8,1,0,15,92,0,2.54,1,addicted,232,0,5.75,0
37,15,20,4,1,12,145,3,5.11,0,focused,555,25,11.153846153846153,0
158,26,1,1,4,4,237,1,13.940000000000001,0,addicted,4108,-10,47.4,1
166,7,19,3,1,8,150,3,7.38,0,addicted,1162,25,16.666666666666668,0
52,5,14,5,1,59,75,3,3.56,0,focused,260,25,1.25,0
122,5,6,0,3,17,59,3,7.659999999999999,0,focused,610,15,3.2777777777777777,0
36,2,11,0,0,20,41,1,1.48,0,distracted,72,10,1.9523809523809523,0
177,5,7,4,2,21,152,2,8.309999999999999,0,focused,885,10,6.909090909090909,0
54,4,14,3,0,39,62,3,2.42,0,focused,216,30,1.55,0
376,22,2,2,5,4,236,1,20.68,0,addicted,8272,-15,47.2,1
14,2,13,3,0,36,31,2,0.82,0,focused,28,20,0.8378378378378378,0
77,5,16,0,1,30,65,3,4.31,0,focused,385,25,2.096774193548387,0
228,16,3,0,4,7,220,1,14.039999999999997,0,addicted,3648,-10,27.5,1
13,7,17,5,1,39,24,2,2.79,0,focused,91,15,0.6,0
70,18,7,3,2,20,152,1,7.7,0,focused,1260,0,7.238095238095238,0
390,12,3,3,2,1,344,0,16.1,0,addicted,4680,-10,172.0,1
308,13,1,0,3,8,173,1,14.839999999999998,0,addicted,4004,-5,19.22222222222222,1
145,15,5,2,0,25,111,0,7.35,0,focused,2175,0,4.269230769230769,0
83,8,21,4,0,29,187,3,4.09,0,focused,664,30,6.233333333333333,0
70,4,9,6,0,41,56,4,2.9,0,distracted,280,40,1.3333333333333333,0
358,18,3,4,2,7,207,1,16.339999999999996,0,addicted,6444,0,25.875,1
141,16,21,3,0,20,172,2,7.43,1,addicted,2256,20,8.19047619047619,0
31,5,17,4,1,40,81,1,2.9299999999999997,0,focused,155,5,1.975609756097561,0
51,2,11,0,1,53,18,1,2.9299999999999997,0,distracted,102,5,0.3333333333333333,0
392,13,1,0,5,4,260,0,19.36,0,distracted,5096,-25,52.0,1
